[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/sub/updateSubdist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.SubdistrictController.updateSubdist(com.lb.ssm.vo.Subdistrict)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/logincheck],methods=[POST || GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.lb.ssm.controller.UserController.logincheck(com.lb.ssm.vo.User,javax.servlet.http.HttpServletRequest)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/loginout],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.loginout(javax.servlet.http.HttpServletRequest)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/userpage],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<com.lb.ssm.vo.User> com.lb.ssm.controller.UserController.userLists(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/mm],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.goMMM(javax.servlet.http.HttpServletRequest)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/login],methods=[POST || GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.login()
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/userReflush/{name}],methods=[],params=[],headers=[],consumes=[],produces=[text/html;charset=UTF-8],custom=[]}" onto public java.util.List<com.lb.ssm.vo.User> com.lb.ssm.controller.UserController.userReflush(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/personalInfo/{id}],methods=[],params=[],headers=[],consumes=[],produces=[text/html;charset=UTF-8],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.personalInfo(java.lang.Integer,javax.servlet.http.HttpServletRequest) throws java.io.IOException
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/userList],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.lb.ssm.controller.UserController.userList()
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/addUser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.addUser(com.lb.ssm.vo.User)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/deleteUser/{userId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.deleteUser(java.lang.Integer) throws java.io.IOException
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(220) | Mapped "{[/user/updateUser],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.lb.ssm.controller.UserController.updateUser(com.lb.ssm.vo.User)
[ssm][INFO] [2017-01-17 16:21:12] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Tue Jan 17 16:21:11 CST 2017]; parent: Root WebApplicationContext
[ssm][INFO] [2017-01-17 16:21:13] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(518) | Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Tue Jan 17 16:21:11 CST 2017]; parent: Root WebApplicationContext
[ssm][INFO] [2017-01-17 16:21:13] org.springframework.web.servlet.FrameworkServlet.initServletBean(503) | FrameworkServlet 'springmvc': initialization completed in 1173 ms
[ssm][WARN] [2017-01-17 16:21:14] org.springframework.web.servlet.DispatcherServlet.noHandlerFound(1120) | No mapping found for HTTP request with URI [/housecrm/favicon.ico] in DispatcherServlet with name 'springmvc'
